,h0_dyn,pv,sub,Netzbezug,Eigenverbrauch,Einspeisung,battery_soc,battery_charge,battery_discharge,grid_export,pv_excess,grid_import,eigenverbrauch
2016-10-21 18:00:00,0.577379966509999,0.0,-0.577379966509999,0.577379966509999,0.0,0.0,6.379449376843056,0.0,0.6014374651145823,0.0,0.0,0.0,0.577379966509999
2016-10-21 19:00:00,0.6852760796995718,0.0,-0.6852760796995718,0.6852760796995718,0.0,0.0,5.665620127156002,0.0,0.713829249687054,0.0,0.0,0.0,0.6852760796995718
2016-10-21 20:00:00,0.6700773134020828,0.0,-0.6700773134020828,0.6700773134020828,0.0,0.0,4.967622925695499,0.0,0.6979972014605029,0.0,0.0,0.0,0.6700773134020828
2016-10-21 21:00:00,0.6219344320113236,0.0,-0.6219344320113236,0.6219344320113236,0.0,0.0,4.319774559017037,0.0,0.6478483666784621,0.0,0.0,0.0,0.6219344320113236
2016-10-21 22:00:00,0.5411860250833304,0.0,-0.5411860250833304,0.5411860250833304,0.0,0.0,3.756039116221901,0.0,0.5637354427951358,0.0,0.0,0.0,0.5411860250833304
2016-10-21 23:00:00,0.4000125020509466,0.0,-0.4000125020509466,0.4000125020509466,0.0,0.0,3.3393594265854984,0.0,0.4166796896364027,0.0,0.0,0.0,0.4000125020509466
2016-10-22 00:00:00,0.291870429892405,0.0,-0.291870429892405,0.291870429892405,0.0,0.0,3.03532772878091,0.0,0.30403169780458855,0.0,0.0,0.0,0.291870429892405
2016-10-22 01:00:00,0.2245562130583877,0.0,-0.2245562130583877,0.2245562130583877,0.0,0.0,2.8014150068450894,0.0,0.23391272193582052,0.0,0.0,0.0,0.2245562130583877
2016-10-22 02:00:00,0.1853990142153369,0.0,-0.1853990142153369,0.1853990142153369,0.0,0.0,2.6082910337041136,0.0,0.19312397314097593,0.0,0.0,0.0,0.1853990142153369
2016-10-22 03:00:00,0.1746915637210356,0.0,-0.1746915637210356,0.1746915637210356,0.0,0.0,2.426320654828035,0.0,0.18197037887607875,0.0,0.0,0.0,0.1746915637210356
2016-10-22 04:00:00,0.172285282893606,0.0,-0.172285282893606,0.172285282893606,0.0,0.0,2.246856818480529,0.0,0.17946383634750626,0.0,0.0,0.0,0.172285282893606
2016-10-22 05:00:00,0.1803010684637568,0.0,-0.1803010684637568,0.1803010684637568,0.0,0.0,2.059043205497449,0.0,0.18781361298308,0.0,0.0,0.0,0.1803010684637568
2016-10-22 06:00:00,0.234012055050084,0.0,-0.234012055050084,0.234012055050084,0.0,0.0,1.8152806481536112,0.0,0.2437625573438375,0.0,0.0,0.0,0.234012055050084
2016-10-22 07:00:00,0.3725486319101772,0.3806,0.0080513680898228,0.0,0.3725486319101772,0.0080513680898228,1.8230099615198412,0.007729313366229906,0.0,0.0,0.0,0.0,0.3725486319101772
2016-10-22 08:00:00,0.5182016261556188,0.8987,0.3804983738443812,0.0,0.5182016261556188,0.3804983738443812,2.188288400410447,0.36527843889060596,0.0,0.0,0.0,0.0,0.5182016261556188
2016-10-22 09:00:00,0.6010055455839719,0.9508,0.3497944544160281,0.0,0.6010055455839719,0.3497944544160281,2.524091076649834,0.3358026762393869,0.0,0.0,0.0,0.0,0.6010055455839719
2016-10-22 10:00:00,0.6525834081997203,1.2772,0.6246165918002798,0.0,0.6525834081997203,0.6246165918002798,3.1237230047781024,0.5996319281282684,0.0,0.0,0.0,0.0,0.6525834081997203
2016-10-22 11:00:00,0.6867898742076205,0.8783,0.1915101257923794,0.0,0.6867898742076205,0.1915101257923794,3.307572725538787,0.1838497207606843,0.0,0.0,0.0,0.0,0.6867898742076205
2016-10-22 12:00:00,0.7252059431130184,0.5241,-0.2011059431130184,0.2011059431130184,0.0,0.0,3.0980873681293923,0.0,0.20948535740939422,0.0,0.0,0.0,0.7252059431130184
2016-10-22 13:00:00,0.7095709423554254,1.8794,1.169829057644575,0.0,0.7095709423554254,1.169829057644575,4.221123263468184,1.1230358953387913,0.0,0.0,0.0,0.0,0.7095709423554254
2016-10-22 14:00:00,0.6450194763691852,2.5569,1.911880523630815,0.0,0.6450194763691852,1.911880523630815,6.056528566153766,1.8354053026855823,0.0,0.0,0.0,0.0,0.6450194763691852
2016-10-22 15:00:00,0.5945669459908334,2.6391,2.0445330540091664,0.0,0.5945669459908334,2.0445330540091664,8.019280298002565,1.9627517318487997,0.0,0.0,0.0,0.0,0.5945669459908334
2016-10-22 16:00:00,0.5862255070148894,0.0,-0.5862255070148894,0.5862255070148894,0.0,0.0,7.408628728195389,0.0,0.6106515698071765,0.0,0.0,0.0,0.5862255070148894
2016-10-22 17:00:00,0.6376620115987784,0.0,-0.6376620115987784,0.6376620115987784,0.0,0.0,6.744397466113328,0.0,0.664231262082061,0.0,0.0,0.0,0.6376620115987784
2016-10-22 18:00:00,0.7335379706749124,0.0,-0.7335379706749124,0.7335379706749124,0.0,0.0,5.98029541332696,0.0,0.7641020527863671,0.0,0.0,0.0,0.7335379706749124
2016-10-22 19:00:00,0.7926994604291642,0.0,-0.7926994604291642,0.7926994604291642,0.0,0.0,5.1545668087132475,0.0,0.8257286046137127,0.0,0.0,0.0,0.7926994604291642
2016-10-22 20:00:00,0.7221301824259823,0.0,-0.7221301824259823,0.7221301824259823,0.0,0.0,4.402347868686182,0.0,0.7522189400270649,0.0,0.0,0.0,0.7221301824259823
2016-10-22 21:00:00,0.5899570694521703,0.0,-0.5899570694521703,0.5899570694521703,0.0,0.0,3.7878092546735047,0.0,0.6145386140126774,0.0,0.0,0.0,0.5899570694521703
2016-10-22 22:00:00,0.5549354262422713,0.0,-0.5549354262422713,0.5549354262422713,0.0,0.0,3.209751519004472,0.0,0.5780577356690326,0.0,0.0,0.0,0.5549354262422713
2016-10-22 23:00:00,0.466667013272974,0.0,-0.466667013272974,0.466667013272974,0.0,0.0,2.7236400468451243,0.0,0.4861114721593479,0.0,0.0,0.0,0.466667013272974
2016-10-23 00:00:00,0.3376702959979417,0.0,-0.3376702959979417,0.3376702959979417,0.0,0.0,2.371900155180602,0.0,0.3517398916645226,0.0,0.0,0.0,0.3376702959979417
2016-10-23 01:00:00,0.2492180347691074,0.0,-0.2492180347691074,0.2492180347691074,0.0,0.0,2.1122980356294483,0.0,0.25960211955115353,0.0,0.0,0.0,0.2492180347691074
2016-10-23 02:00:00,0.1959618631334707,0.0,-0.1959618631334707,0.1959618631334707,0.0,0.0,1.9081710948654163,0.0,0.20412694076403198,0.0,0.0,0.0,0.1959618631334707
2016-10-23 03:00:00,0.1775175672300604,0.0,-0.1775175672300604,0.1775175672300604,0.0,0.0,1.7232569623341034,0.0,0.18491413253131292,0.0,0.0,0.0,0.1775175672300604
2016-10-23 04:00:00,0.1729774254216628,0.0,-0.1729774254216628,0.1729774254216628,0.0,0.0,1.543072144186538,0.0,0.18018481814756543,0.0,0.0,0.0,0.1729774254216628
2016-10-23 05:00:00,0.1734473468065955,0.0,-0.1734473468065955,0.1734473468065955,0.0,0.0,1.3623978245963344,0.0,0.18067431959020364,0.0,0.0,0.0,0.1734473468065955
2016-10-23 06:00:00,0.1834618272121553,0.0,-0.1834618272121553,0.1834618272121553,0.0,0.0,1.1712917545836725,0.0,0.19110607001266178,0.0,0.0,0.0,0.1834618272121553
2016-10-23 07:00:00,0.2629469275882378,0.9155,0.6525530724117622,0.0,0.2629469275882378,0.6525530724117622,1.7977427040989642,0.6264509495152917,0.0,0.0,0.0,0.0,0.2629469275882378
2016-10-23 08:00:00,0.4461536461052262,2.4509000000000003,2.0047463538947743,0.0,0.4461536461052262,2.0047463538947743,3.7222992038379474,1.9245564997389832,0.0,0.0,0.0,0.0,0.4461536461052262
2016-10-23 09:00:00,0.6400918771266528,2.458,1.8179081228733476,0.0,0.6400918771266528,1.8179081228733476,5.467491001796361,1.7451917979584135,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.6400918771266528
2016-10-23 10:00:00,0.7427238567998761,2.2578,1.5150761432001238,0.0,0.7427238567998761,1.5150761432001238,6.9219640992684806,1.454473097472119,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.7427238567998761
2016-10-23 11:00:00,0.8235182245987612,1.7523,0.9287817754012389,0.0,0.8235182245987612,0.9287817754012389,7.813594603653669,0.8916305043851892,0.0,0.0,0.0,0.0,0.8235182245987612
2016-10-23 12:00:00,0.8341305415984788,1.8161,0.9819694584015212,0.0,0.8341305415984788,0.9819694584015212,8.75628528371913,0.9426906800654604,0.0,0.0,0.0,0.0,0.8341305415984788
