,h0_dyn,pv,sub,Netzbezug,Eigenverbrauch,Einspeisung
2016-02-04 17:00:00,0.6375581136059167,0.0,-0.6375581136059167,0.6375581136059167,0.0,0.0
2016-02-04 18:00:00,0.8234228160312753,0.0,-0.8234228160312753,0.8234228160312753,0.0,0.0
2016-02-04 19:00:00,0.9268749125928831,0.0,-0.9268749125928831,0.9268749125928831,0.0,0.0
2016-02-04 20:00:00,0.8334868555376245,0.0,-0.8334868555376245,0.8334868555376245,0.0,0.0
2016-02-04 21:00:00,0.6983471547914772,0.0,-0.6983471547914772,0.6983471547914772,0.0,0.0
2016-02-04 22:00:00,0.5779353732520388,0.0,-0.5779353732520388,0.5779353732520388,0.0,0.0
2016-02-04 23:00:00,0.4279164085107286,0.0,-0.4279164085107286,0.4279164085107286,0.0,0.0
2016-02-05 00:00:00,0.2888109975325054,0.0,-0.2888109975325054,0.2888109975325054,0.0,0.0
2016-02-05 01:00:00,0.21371061645680373,0.0,-0.21371061645680373,0.21371061645680373,0.0,0.0
2016-02-05 02:00:00,0.19586937845719105,0.0,-0.19586937845719105,0.19586937845719105,0.0,0.0
2016-02-05 03:00:00,0.19070783082801576,0.0,-0.19070783082801576,0.19070783082801576,0.0,0.0
2016-02-05 04:00:00,0.19376692217040428,0.0,-0.19376692217040428,0.19376692217040428,0.0,0.0
2016-02-05 05:00:00,0.23193208475687463,0.0,-0.23193208475687463,0.23193208475687463,0.0,0.0
2016-02-05 06:00:00,0.4460616743459141,0.0,-0.4460616743459141,0.4460616743459141,0.0,0.0
2016-02-05 07:00:00,0.6408096740087624,0.0,-0.6408096740087624,0.6408096740087624,0.0,0.0
2016-02-05 08:00:00,0.6609223885029678,0.061200000000000004,-0.5997223885029678,0.5997223885029678,0.0,0.0
2016-02-05 09:00:00,0.6099934534739042,0.1325,-0.4774934534739042,0.4774934534739042,0.0,0.0
2016-02-05 10:00:00,0.5752570497460144,0.2601,-0.31515704974601444,0.31515704974601444,0.0,0.0
2016-02-05 11:00:00,0.5856673766887186,0.7295,0.14383262331128144,0.0,0.5856673766887186,0.14383262331128144
2016-02-05 12:00:00,0.6469580889937914,0.45630000000000004,-0.19065808899379133,0.19065808899379133,0.0,0.0
2016-02-05 13:00:00,0.6409320511630086,0.3852,-0.25573205116300857,0.25573205116300857,0.0,0.0
2016-02-05 14:00:00,0.5708661126217442,0.2407,-0.3301661126217442,0.3301661126217442,0.0,0.0
2016-02-05 15:00:00,0.5187225474303291,0.023399999999999997,-0.4953225474303291,0.4953225474303291,0.0,0.0
2016-02-05 16:00:00,0.5206213691285253,0.0,-0.5206213691285253,0.5206213691285253,0.0,0.0
2016-02-05 17:00:00,0.6366726646809846,0.0,-0.6366726646809846,0.6366726646809846,0.0,0.0
2016-02-05 18:00:00,0.8222770098279654,0.0,-0.8222770098279654,0.8222770098279654,0.0,0.0
2016-02-05 19:00:00,0.9255826750143793,0.0,-0.9255826750143793,0.9255826750143793,0.0,0.0
2016-02-05 20:00:00,0.8323225950583708,0.0,-0.8323225950583708,0.8323225950583708,0.0,0.0
2016-02-05 21:00:00,0.6973697643269753,0.0,-0.6973697643269753,0.6973697643269753,0.0,0.0
2016-02-05 22:00:00,0.5771249546186468,0.0,-0.5771249546186468,0.5771249546186468,0.0,0.0
2016-02-05 23:00:00,0.42731520775361187,0.0,-0.42731520775361187,0.42731520775361187,0.0,0.0
2016-02-06 00:00:00,0.3315831155064559,0.0,-0.3315831155064559,0.3315831155064559,0.0,0.0
2016-02-06 01:00:00,0.26148210478376244,0.0,-0.26148210478376244,0.26148210478376244,0.0,0.0
2016-02-06 02:00:00,0.2082035556177669,0.0,-0.2082035556177669,0.2082035556177669,0.0,0.0
2016-02-06 03:00:00,0.19632257136203202,0.0,-0.19632257136203202,0.19632257136203202,0.0,0.0
2016-02-06 04:00:00,0.19017906596915507,0.0,-0.19017906596915507,0.19017906596915507,0.0,0.0
2016-02-06 05:00:00,0.198177590061966,0.0,-0.198177590061966,0.198177590061966,0.0,0.0
2016-02-06 06:00:00,0.2625393764925658,0.0,-0.2625393764925658,0.2625393764925658,0.0,0.0
2016-02-06 07:00:00,0.4051561332405087,0.0,-0.4051561332405087,0.4051561332405087,0.0,0.0
